,movie_id,title_x,tag
0,19995,Avatar,SamWorthington ZoeSaldana SigourneyWeaver StephenLang MichelleRodriguez SamWorthington ZoeSaldana SigourneyWeaver StephenLang MichelleRodriguez Action Adventure Fantasy ScienceFiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment
1,285,Pirates of the Caribbean: At World's End,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård ChowYun-fat JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård ChowYun-fat Adventure Fantasy Action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
2,206647,Spectre,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes MonicaBellucci DanielCraig ChristophWaltz LéaSeydoux RalphFiennes MonicaBellucci Action Adventure Crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom ColumbiaPictures Danjaq B24
3,49026,The Dark Knight Rises,ChristianBale MichaelCaine GaryOldman AnneHathaway TomHardy ChristianBale MichaelCaine GaryOldman AnneHathaway TomHardy Action Crime Drama Thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman LegendaryPictures WarnerBros. DCEntertainment Syncopy
4,49529,John Carter,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe ThomasHadenChurch TaylorKitsch LynnCollins SamanthaMorton WillemDafoe ThomasHadenChurch Action Adventure ScienceFiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d WaltDisneyPictures
5,559,Spider-Man 3,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch TopherGrace TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch TopherGrace Fantasy Action Adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge ColumbiaPictures LauraZiskinProductions MarvelEnterprises
6,38757,Tangled,ZacharyLevi MandyMoore DonnaMurphy RonPerlman M.C.Gainey ZacharyLevi MandyMoore DonnaMurphy RonPerlman M.C.Gainey Animation Family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick WaltDisneyPictures WaltDisneyAnimationStudios
7,99861,Avengers: Age of Ultron,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson Action Adventure ScienceFiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d MarvelStudios PrimeFocus RevolutionSunStudios
8,767,Harry Potter and the Half-Blood Prince,DanielRadcliffe RupertGrint EmmaWatson TomFelton MichaelGambon DanielRadcliffe RupertGrint EmmaWatson TomFelton MichaelGambon Adventure Fantasy Family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf WarnerBros. HeydayFilms
9,209112,Batman v Superman: Dawn of Justice,BenAffleck HenryCavill GalGadot AmyAdams JesseEisenberg BenAffleck HenryCavill GalGadot AmyAdams JesseEisenberg Action Adventure Fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment
